,Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
44,5.6609855007614156e-42,1.3107320903153055e-42,4.4289465190579103e-42,0.03698279,2.7276998772565427e-42,3.529385921239262e-42,4.9281559268140214e-43
45,1.0386519908658584e-40,1.6746195745096981e-41,8.416446335648876e-41,0.060741445,5.007888237123689e-41,4.67935251678391e-41,6.935754096061965e-42
46,3.934466140309645e-37,2.2694099367303272e-37,2.652989551036377e-37,0.086273666,2.83429567098168e-37,1.4800499587371701e-37,4.2304761320570767e-38
47,1.2435819946550085e-36,4.220641921253362e-37,9.306228317865618e-37,0.09082330699999999,8.746347246678947e-37,2.881951924121131e-37,1.281266297523342e-37
48,1.4958191900216404e-31,1.2112264978561837e-31,1.2863589685878646e-31,0.085531575,1.3728751470061634e-31,1.0882824548407067e-31,2.117369629710998e-32
49,8.478702598923536e-33,1.6641265069870645e-33,7.003382001700178e-33,0.056994819,2.015393315849769e-33,4.3732717703406743e-33,8.16695330605789e-34
50,4.992764203553284e-34,1.1579603725108522e-34,3.4037017010167473e-34,0.03365166,1.2080885271650013e-34,2.115408126405106e-34,6.140698945133307e-35
51,1.4672002739426617e-40,1.0678347554638512e-40,1.1154154129388662e-40,0.042506527,5.436675124604124e-41,1.8065049624939948e-40,3.3020456280474585e-41
52,3.5065736125889707e-28,0.0,2.3477230865107665e-28,0.0,2.713991905633929e-28,4.022952603483921e-29,1.5011017177178808e-29
53,7.323137072145214e-36,1.1016704334500603e-36,5.606633969404559e-36,0.11398259,4.626101571167888e-36,2.361048875008116e-36,6.0111892945511585e-37
54,3.7644155811868136e-35,1.0836030276209819e-35,2.414102947611301e-35,0.075236167,2.0864311460100194e-35,1.4036545547664194e-35,2.0574741030778128e-36
55,1.8965552736518872e-29,4.3031086040841136e-30,1.7371808809080312e-29,0.10757946199999999,1.6224313181324545e-29,7.044348159278439e-30,0.0
