ShareWomen,Full_time,Part_time,Full_time_year_round,Unemployment_rate,Median,College_jobs,Non_college_jobs,Low_wage_jobs,Major_category_code
0.120564344,0.9357287449392713,0.13663967611336034,0.6108299595141701,0.018380527,110000,0.7763157894736842,0.18421052631578946,0.09767206477732794,0
0.10185185199999999,0.86875,0.265625,0.60625,0.117241379,75000,0.546875,0.4015625,0.078125,0
0.153037383,0.8611111111111112,0.2052469135802469,0.5246913580246914,0.024096386,73000,0.7037037037037037,0.2716049382716049,0.0,0
0.107313196,1.4102902374670185,0.19788918205804748,0.9129287598944591,0.050125313,70000,0.6978891820580475,0.1345646437994723,0.0,0
0.341630502,0.9017669494823695,0.20160348719545418,0.649840429672297,0.061097712,65000,0.7127734101346618,0.17280298902467503,0.037829843543239663,0
0.144966965,1.0974690360796984,0.1421647819063005,0.7802907915993538,0.177226407,65000,0.6149703823371029,0.35379644588045234,0.13139472267097468,0
0.44135557299999995,1.004120879120879,0.10164835164835165,0.8523351648351648,0.095652174,62000,0.6071428571428571,0.10782967032967034,0.0889423076923077,1
0.535714286,0.7110091743119266,0.3623853211009174,0.5419397116644823,0.021167415,62000,0.6369593709043251,0.32765399737876805,0.14416775884665792,2
0.11955890300000001,0.932707150519348,0.17138484079432773,0.7147772167133252,0.057342277999999997,60000,0.6912953611888752,0.21433243504879518,0.04255513984458805,0
0.19645025600000002,0.8953946518537657,0.20499612453171426,0.6687282004908927,0.059173845,60000,0.7400368169487146,0.17559100891357707,0.0511884769409637,0
0.199412643,0.9325970590044915,0.15830923521811358,0.7266658463052975,0.065409275,60000,0.7289115855534363,0.1759982772411247,0.03014828031747985,0
0.139792801,0.9749802475638663,0.2391361601264156,0.7716618382933895,0.065162085,60000,0.7184619436397156,0.2128873672197349,0.03265736107453253,0
0.437846874,0.8974818353737434,0.26813974320692746,0.5957997412162834,0.09208386,60000,0.6408878272121031,0.24594406290434956,0.07853090474768587,0
0.310820285,0.8318717871182341,0.26549742969458723,0.5947989114000605,0.023042836,60000,0.7940731781070457,0.11823404898699728,0.024493498639250075,0
0.183985189,0.8312084257206208,0.22477827050997784,0.5554323725055432,0.006334343,58000,0.6759977827050998,0.2624722838137472,0.07289356984478935,0
0.32078431399999996,0.8841166936790924,0.3213938411669368,0.553160453808752,0.087143069,57100,0.5839546191247974,0.2585089141004862,0.08492706645056726,0
0.34347321799999997,0.953537554473212,0.14374519354011792,0.7258395283260702,0.042875544,57000,0.5322994104075878,0.20731863624711613,0.041015124327095615,0
